#Type	Sub_Type	Specific_Type
Fat	Oil	Virgin Olive
Fat	Oil	Canola
Fat	Sweet	Dark Chocolate Bar
Fat	Butter 	Stick
Protein	Chicken	Cutlet
Dairy	Milk	2%
Dairy	Cheese	Swiss
Fruit	Apple	Granny Smith
Vegetable	Carrot	Danvers
Grain	Bread	Wheat
Grain	Bread	White
Grain	Pasta	Rotini
Grain	Pasta	Medium Shells
Grain	Pasta	Spaghetti
Grain	Pasta	Fettucine
Grain	Pasta	Ziti
Dessert	Mix	Oreo Instant Pudding
Dessert	Mix	Lemon Instant Pudding
Dessert	Mix	Butterscotch Pudding
Dairy	Milk	Whole
Dessert	Mix	Chocolate Pudding
Dessert	Mix	Brownies
Dessert	Mix	Banana Bread
Breakfast	Mix	Buttermilk Pancake
