#Type	Sub_Type	Specific_Type
Fat	Oil	Virgin Olive Oil
Fat	Oil	Canola Oil
Fat	Sweet	Dark Chocolate Bar
Fat	Butter 	Butter
Protein	Chicken	Chicken Cutlet
Dairy	Milk	2% Milk
Dairy	Cheese	Swiss Cheese
Fruit	Apple	Granny Smith Apple
Vegetable	Carrot	Carrot
Grain	Bread	Wheat Bread
Grain	Bread	White Bread
Grain	Pasta	Rotini
Grain	Pasta	Medium Shells
Grain	Pasta	Spaghetti
Grain	Pasta	Fettucine
Grain	Pasta	Ziti
Dessert	Mix	Oreo Instant Pudding
Dessert	Mix	Lemon Instant Pudding
Dessert	Mix	Butterscotch Pudding
Dairy	Milk	Whole Milk
Dessert	Mix	Chocolate Pudding
Dessert	Mix	Brownie Mix
Dessert	Mix	Banana Bread
Breakfast	Mix	Buttermilk Pancake
Eggs	Eggs	Egg
Water	Water	Water
Fruit	Strawberry	Strawberry
Sweet	Sugar	Sugar
Flavors	Extract	Vanilla Extract
Flour	Flour	Flour
Baking Soda	Baking Soda	Baking Soda
Spice	Nutmeg	Ground Nutmeg
Meat	Chicken	Chicken Breast
Vegetable	Pea	Green Peas
Vegetable	Celery	Celery
Spice	Salt	Salt
Spice	Pepper	Pepper
Spice	Celery Seed	Celery Seed
Broth	Chicken Broth	Chicken Broth
Dairy	Milk	Milk
Meat	Pork	Ground Pork
Vegetable	Onion	Onion
Vegetable	Pepper	Red Bell Pepper
Flour	Flour	Corn Mesa Flour
Spice	Oregano	Oregano
Spice	Cumin	Ground Cumin
Spice	Chili Powder	Chili Powder
Spice	Garlic Powder	Garlic Powder
Coffee	Coffee	Coffee
Juice	Tomato	Tomato Juice
Sauce	Tomato	Tomato Sauce
Beans	Chili Beans	Chili Beans
Meat	Sausage	Smoked Sausage
Sweet	Sugar	Brown Sugar
Fruit	Lemon	Lemon
Vegetable	Parsley	Parsley
Fat	Oil	Olive Oil
